store_id,region,store_size_sqft,monthly_revenue,foot_traffic,avg_transaction_value,return_rate,inventory_turnover
STORE-0001,West,9427,223763.0,11090.0,56.15,0.026,4.0
STORE-0002,South,2191,98250.0,4194.0,38.15,0.065,7.09
STORE-0003,North,7736,91259.0,5677.0,41.76,0.041,3.62
STORE-0004,South,6095,81461.0,6500.0,41.99,0.05,8.94
STORE-0005,East,2481,97332.0,5092.0,39.74,0.059,7.76
STORE-0006,North,7088,89110.0,6325.0,49.3,0.049,6.79
STORE-0007,North,10310,39534.0,2360.0,17.34,0.092,2.07
STORE-0008,East,2352,230334.0,7130.0,66.42,0.083,9.88
STORE-0009,West,9297,125915.0,3987.0,42.49,0.069,4.14
STORE-0010,East,9491,38139.0,2585.0,27.55,0.043,2.1
STORE-0011,North,8406,74256.0,4619.0,40.01,0.086,6.97
STORE-0012,North,9852,34251.0,2308.0,27.53,0.051,2.34
STORE-0013,East,9740,99545.0,5503.0,40.89,0.095,9.33
STORE-0014,West,2187,103110.0,5380.0,54.58,0.093,7.58
STORE-0015,East,5679,76731.0,5599.0,52.47,0.097,2.07
STORE-0016,West,3656,84588.0,5822.0,37.89,0.112,8.43
STORE-0017,East,9871,160697.0,12289.0,77.1,0.064,2.57
STORE-0018,South,9082,78137.0,5808.0,45.81,0.117,6.69
STORE-0019,West,7482,98439.0,6581.0,38.99,0.068,9.87
STORE-0020,South,11861,105953.0,3674.0,33.36,0.082,8.55
STORE-0021,West,11780,96842.0,,29.58,0.059,7.75
STORE-0022,South,3879,72314.0,6463.0,36.07,0.034,8.88
STORE-0023,South,5358,227660.0,11852.0,66.6,0.116,5.49
STORE-0024,West,5167,36312.0,3895.0,28.85,0.087,2.7
STORE-0025,West,11492,95314.0,4136.0,48.99,0.061,9.32
STORE-0026,South,7101,149077.0,10675.0,74.15,0.042,4.74
STORE-0027,South,1639,94893.0,6196.0,36.34,0.043,7.61
STORE-0028,West,8193,82263.0,4396.0,52.99,0.116,7.02
STORE-0029,West,8989,95012.0,5253.0,34.18,0.11,8.44
STORE-0030,South,2879,204421.0,9316.0,54.12,0.098,6.65
STORE-0031,North,10183,84705.0,7735.0,37.84,0.068,9.47
STORE-0032,East,5151,38865.0,2700.0,27.94,0.1,5.22
STORE-0033,South,10573,106441.0,,36.44,0.069,3.05
STORE-0034,North,4539,50112.0,2388.0,28.46,0.102,8.85
STORE-0035,South,8512,223181.0,10209.0,76.08,0.115,8.36
STORE-0036,West,9505,82355.0,6131.0,40.67,0.043,7.02
STORE-0037,North,7972,195706.0,11341.0,41.8,0.065,5.2
STORE-0038,South,8231,33746.0,1594.0,27.39,0.088,7.1
STORE-0039,West,7768,46088.0,2562.0,22.28,0.063,8.98
STORE-0040,South,5114,101309.0,6021.0,36.49,0.043,5.52
STORE-0041,North,9882,111212.0,5412.0,37.3,0.066,7.02
STORE-0042,West,2201,69683.0,6730.0,40.45,0.04,5.02
STORE-0043,East,10401,86823.0,7233.0,40.08,0.043,4.7
STORE-0044,East,8715,100596.0,5660.0,46.74,0.093,7.15
STORE-0045,North,10241,35244.0,2205.0,24.1,0.103,7.79
STORE-0046,East,11117,36206.0,2377.0,23.81,0.1,8.24
STORE-0047,West,3230,175706.0,14314.0,64.4,0.076,2.53
STORE-0048,West,5223,85715.0,5201.0,44.86,0.028,2.23
STORE-0049,East,10577,44094.0,3013.0,22.19,0.099,3.57
STORE-0050,North,11068,49390.0,,25.97,0.062,7.41
STORE-0051,East,10623,27241.0,2715.0,27.83,0.089,6.06
STORE-0052,West,11928,89254.0,7464.0,48.95,0.097,8.29
STORE-0053,East,8745,29341.0,1617.0,24.83,0.063,7.42
STORE-0054,East,3489,79847.0,5520.0,41.32,0.088,6.62
